,List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Cost price,Inventory,Shipping,Profit,STOCK TYPE,Date,In Stock,weight(lb),Qty_Remaining,Soldout/not,Sold_day,Sold,SaleRate,Blowout
58,3253,AS-G73XS71,1.93E+11,G703GX-XS71,ASUS,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,Asus ROG G703GX-XS71 17.3 inch Intel Core i7-8750H 2.2GHz/ 16GB DDR4/ 512GB SSD+ 1TB SSHD/ RTX 2080/ USB3.1/ Windows 10 Pro Notebook (ROG Metallic Copper Style),2981.73,2236.2975,13,3.5,741.9325,Recurring,01-Jan-19,Y,22.9,0,Sold,11,13,1.181818182,11
59,850,HD-ST2DM09,7.64E+11,ST2000DM009,Seagate,SATA,Component,Hard Drive,Desktop HDD,Seagate BarraCuda Pro ST2000DM009 2TB 7200RPM SATA 6.0 GB/s 128MB Hard Drive (3.5 inch),118.39,88.7925,14,2.5,27.0975,Recurring,01-Jan-19,Y,1.3,0,Sold,11,14,1.272727273,11
60,2230,CA-RM413FS,8.09E+11,RM41300-FS81,Chenbro,4U,Component,Server,Server Chassis,Chenbro RM41300-FS81 No Power Supply 4U Rackmount Server Chassis for Tesla GPU,152.73,114.5475,15,10,28.1825,Recurring,01-Jan-19,Y,35,0,Sold,11,15,1.363636364,11
61,3683,AS-XGC100C,8.89E+11,XG-C100C,ASUS,Wireless Network Adapter,Component,Networking,Wireless Networking,Asus XG-C100C 10G Network Adapter PCI-Express x4 Card,101.99,76.4925,22,2.5,22.9975,Recurring,01-Jan-19,Y,0.52,0,Sold,12,22,1.833333333,12
62,3907,FAN-DS12K1,8.41E+11,DS 120MM BLACK,AeroCool,120mm,Component,Fan & Heatsink,Case Fan,AeroCool Dead Silence 120mm Black Case Fan,12.3,9.225,11,2.5,0.575,Recurring,01-Jan-19,Y,0.5,0,Sold,12,11,0.916666667,12
63,2614,FAN-SY5010,8.13E+11,SY501012M,Scythe,50mm,Component,Fan & Heatsink,Case Fan,Scythe SY501012M Mini KAZE 50mm Silent Case Fan,5.38,4.035,13,0,1.345,Recurring,01-Jan-19,Y,0.2,0,Sold,12,13,1.083333333,12
64,1348,TP-G1008D,8.46E+11,TL-SG1008D,TP-Link,Unmanaged Gigabit Switch,Component,Networking,Wired Networking,TP-Link TL-SG1008D 8-Port Unmanaged Gigabit Desktop Switch,26.14,19.605,13,2.5,4.035,Recurring,01-Jan-19,Y,1.95,0,Sold,12,13,1.083333333,12
65,833,KS-K64679U,85896646792,K64679US,Kensington,Security Lock,PC & Laptop,Accessory,Security Lock,Kensington K64679US ClickSafe Combination Laptop Lock Master Coded On Demand (Black),35.88,26.91,13,2.5,6.47,Recurring,01-Jan-19,Y,0.5,0,Sold,12,13,1.083333333,12
66,546,I3_2120,,CM8062301044204,Intel,Core I3,Component,CPU / Processor,Desktop CPU,"Intel Core i3-2120 Sandy Bridge Processor 3.3GHz 5.0GT/s 3MB LGA 1155 CPU, OEM",71.75,53.8125,13,0,17.9375,Recurring,01-Jan-19,Y,0.07,0,Sold,12,13,1.083333333,12
67,523,I7_2600,,CM8062300834302,Intel,Core I7,Component,CPU / Processor,Desktop CPU,"Intel Core i7-2600 Sandy Bridge Processor 3.4GHz 5.0GT/s 8MB LGA 1155 CPU, OEM",161.95,121.4625,13,0,40.4875,Recurring,01-Jan-19,Y,0.07,0,Sold,12,13,1.083333333,12
