List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Inventory,STOCK TYPE,Date,In Stock,weight(lb),SaleRate,SaleRateNew
3494,MB-X10DT4B,6.72E+11,X10DRI-T4+-B,Supermicro,LGA 2011,Component,Motherboard,Server,Supermicro X10DRI-T4+-B Dual LGA2011/ Intel C612/ DDR4/ SATA3&USB3.0/ V&4GbE/ Enhanced EATX Server Motherboard,,,,,,,0.02247191,0.011235955
3525,CA-RSC2ETA,8.37E+11,RSC-2ET-80HP-SA3E-0EL-A,AIC,2U,Component,Server,Server Chassis,AIC RSC-2ET-80HP-SA3E-OEL-C 800W 2U Rackmount Server Chassis,,,,,,,0.02247191,0.011235955
2641,IW-RJ2245H,8.28E+11,RJ224-03-CR550.HE,In Win,JBOD / RAID Storage,Hardware & Software,Server & Workstation,Storage RAID,In-Win RJ224-03-CR550.HE 550W 2U JBOD Storage Enclosure,,,,,,,0.02247191,0.011235955
1324,INT-44ET2,7.36E+11,E1G44ET2,Intel,Wired Network Adapter,Component,Networking,Wired Networking,Intel E1G44ET2 Gigabit ET2 Quad Port PCI-Express x4 Server Adapter,422.3,1,Recurring,01 January 2019,L,0.6,0.033707865,0.011363636
3508,SY-528RE2L,6.72E+11,SSG-5028R-E1CR12L,Supermicro,2U,Component,Server,Server Barebone,Supermicro SuperStorage Server SSG-5028R-E1CR12L LGA2011 920W 2U Rackmount Server Barebone System (Black),1650.25,1,Recurring,01 January 2019,L,58,0.033707865,0.011363636
3266,MSI-TRI021,8.24E+11,TRIDENTX021,MSI,Desktop System,PC & Laptop,Desktop System,,MSI Trident X 9SD-021US Intel Core i7-9700K 3.6GHz/ 16GB DDR4/ 512GB SSD/ RTX 2070 ARMOR/ Windows 10 Home Desktop PC (Black-RGB),1966.98,1,Recurring,01 January 2019,L,20.94,0.033707865,0.011363636
3250,AS-G74PS74,1.93E+11,GL704GW-PS74,ASUS,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,Asus ROG Strix Scar II GL704GW-PS74 17.3 inch Intel Core i7-8750H 2.2GHz/ 16GB DDR4/ 512GB SSD/ RTX 2070/ USB3.1/ Windows 10 Notebook (Gunmetal +Gamou Weave),2096.13,1,Recurring,01 January 2019,L,12.5,0.033707865,0.011363636
1096,MB-X11SRVF,,MBD-X11SRM-VF-B,Supermicro,Others,Component,Motherboard,Server,Supermicro MBD-X11SRM-VF-B LGA2066/ Intel C422/ DDR4/ SATA3&USB3.0/ V&2GbE/ MicroATX Server Motherboard,273.67,1,Recurring,01 January 2019,L,5,0.033707865,0.011363636
3873,CA-ARMORTO,1.93E+11,ARMOR TITAN ORANGE,Cougar,Gaming Accessory,Electronics,Gaming Accessory,,"Cougar Armor Titan (Orange) ultimate gaming chair with premium breathable pvc leather, 160kg support, 170 degree reclining",315.7,1,Recurring,01 January 2019,L,79.15,0.033707865,0.011363636
3874,CA-ARMORTB,1.93E+11,ARMOR TITAN BLACK,Cougar,Gaming Accessory,Electronics,Gaming Accessory,,"Cougar Armor Titan (Black) ultimate gaming chair with premium breathable pvc leather, 160kg support, 170 degree reclining",316.21,1,Recurring,01 January 2019,L,63,0.033707865,0.011363636
1108,MB-X11DPLB,,X11DPL-I-B,Supermicro,Others,Component,Motherboard,Server,Supermicro X11DPL-I-B Dual LGA3647/ Intel C621/ DDR4/ SATA3&USB3.0/ V&2GbE/ ATX Server Motherboard,419.22,1,Recurring,01 January 2019,L,5,0.033707865,0.011363636
3452,MB-EPYCD82,,EPYCD8-2T,ASRock Rack,Others,Component,Motherboard,Desktop,ASRock Rack EPYCD8-2T Single Socket SP3/ DDR4/ SATA3&USB3.1/ V&2GbE/ ATX Motherboard,435.62,1,Recurring,01 January 2019,L,5,0.033707865,0.011363636
3490,MB-X10S7TB,6.72E+11,X10SDV-7TP4F-B,Supermicro,CPU on Board Combo,Component,Motherboard,CPU on Board Combo,Supermicro X10SDV-7TP4F-B Intel Xeon D-1537/ DDR4/ SATA3&USB3.0/ V&4GbE/ FlexATX Motherboard & CPU Combo,903.03,1,Recurring,01 January 2019,L,3.5,0.033707865,0.011363636
1324,INT-44ET2,7.36E+11,E1G44ET2,Intel,Wired Network Adapter,Component,Networking,Wired Networking,Intel E1G44ET2 Gigabit ET2 Quad Port PCI-Express x4 Server Adapter,,,,,,,0.033707865,0.011363636
3508,SY-528RE2L,6.72E+11,SSG-5028R-E1CR12L,Supermicro,2U,Component,Server,Server Barebone,Supermicro SuperStorage Server SSG-5028R-E1CR12L LGA2011 920W 2U Rackmount Server Barebone System (Black),,,,,,,0.033707865,0.011363636
3266,MSI-TRI021,8.24E+11,TRIDENTX021,MSI,Desktop System,PC & Laptop,Desktop System,,MSI Trident X 9SD-021US Intel Core i7-9700K 3.6GHz/ 16GB DDR4/ 512GB SSD/ RTX 2070 ARMOR/ Windows 10 Home Desktop PC (Black-RGB),,,,,,,0.033707865,0.011363636
3250,AS-G74PS74,1.93E+11,GL704GW-PS74,ASUS,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,Asus ROG Strix Scar II GL704GW-PS74 17.3 inch Intel Core i7-8750H 2.2GHz/ 16GB DDR4/ 512GB SSD/ RTX 2070/ USB3.1/ Windows 10 Notebook (Gunmetal +Gamou Weave),,,,,,,0.033707865,0.011363636
1096,MB-X11SRVF,,MBD-X11SRM-VF-B,Supermicro,Others,Component,Motherboard,Server,Supermicro MBD-X11SRM-VF-B LGA2066/ Intel C422/ DDR4/ SATA3&USB3.0/ V&2GbE/ MicroATX Server Motherboard,,,,,,,0.033707865,0.011363636
3873,CA-ARMORTO,1.93E+11,ARMOR TITAN ORANGE,Cougar,Gaming Accessory,Electronics,Gaming Accessory,,"Cougar Armor Titan (Orange) ultimate gaming chair with premium breathable pvc leather, 160kg support, 170 degree reclining",,,,,,,0.033707865,0.011363636
3874,CA-ARMORTB,1.93E+11,ARMOR TITAN BLACK,Cougar,Gaming Accessory,Electronics,Gaming Accessory,,"Cougar Armor Titan (Black) ultimate gaming chair with premium breathable pvc leather, 160kg support, 170 degree reclining",,,,,,,0.033707865,0.011363636
1108,MB-X11DPLB,,X11DPL-I-B,Supermicro,Others,Component,Motherboard,Server,Supermicro X11DPL-I-B Dual LGA3647/ Intel C621/ DDR4/ SATA3&USB3.0/ V&2GbE/ ATX Server Motherboard,,,,,,,0.033707865,0.011363636
3452,MB-EPYCD82,,EPYCD8-2T,ASRock Rack,Others,Component,Motherboard,Desktop,ASRock Rack EPYCD8-2T Single Socket SP3/ DDR4/ SATA3&USB3.1/ V&2GbE/ ATX Motherboard,,,,,,,0.033707865,0.011363636
3490,MB-X10S7TB,6.72E+11,X10SDV-7TP4F-B,Supermicro,CPU on Board Combo,Component,Motherboard,CPU on Board Combo,Supermicro X10SDV-7TP4F-B Intel Xeon D-1537/ DDR4/ SATA3&USB3.0/ V&4GbE/ FlexATX Motherboard & CPU Combo,,,,,,,0.033707865,0.011363636
1829,TS-IS1934P,94922108456,IS1934P-U,TouchSystems,Touch Screen LCD/LED,Component,Monitor & Display & TV,Touch Screen LCD/LED,TouchSystems IS1934P-U 19 inch 800:1 5ms VGA/USB Touchscreen CCFL LCD Monitor (Black),490.97,1,Recurring,01 January 2019,L,23.35,0.04494382,0.011494253
