List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Cost price,Inventory,Shipping,Profit,STOCK TYPE,Date,In Stock,weight(lb),SaleRate,SaleRateNew,Blowout
3360,SP-X79U-1G,8.85E+11,LAN-1G2T-U,QNAP,Others,Component,Networking,Others,QNAP Dual-Port Gigabit Network Expansion Card for TS-x79 Rackmount Model,169.12,126.84,1,2.5,39.78,Recurring,01-Jan-19,L,2,0.08988764,0.012048193,82.99999842
67,F24RB16G4S,,F24RB16G4S,SUPER TALENT,Server DDR4,Component,DRAM Memory,Server DRAM,Super Talent DDR4-2400 16GB ECC/REG CL17 Samsung Chip Server Memory,161.95,121.4625,1,0,40.4875,Recurring,01-Jan-19,L,0.06,0.08988764,0.012048193,82.99999842
208,KD424VR16G,7.41E+11,KVR24R17S4L/16,Kingston,Server DDR4,Component,DRAM Memory,Server DRAM,Kingston ValueRAM KVR24R17S4L/16 DDR4-2400 16GB/2Gx72 VLP ECC/REG CL17 Server Memory ,177.33,132.9975,1,0,44.3325,Recurring,01-Jan-19,L,0.06,0.08988764,0.012048193,82.99999842
68,F24RA16GS,,F24RA16GS,SUPER TALENT,Server DDR4,Component,DRAM Memory,Server DRAM,Super Talent DDR4-2400 16GB ECC/REG Samsung Chip Server Memory,189.62,142.215,1,0,47.405,Recurring,01-Jan-19,L,0.06,0.08988764,0.012048193,82.99999842
152,D424LR32S3,,M386A4K40BB0-CRC,Samsung,Server DDR4,Component,DRAM Memory,Server DRAM,Samsung DDR4-2400 32GB/2Gx4 ECC/REG Load Reduced CL17 Server Memory,205,153.75,1,0,51.25,Recurring,01-Jan-19,L,0.08,0.08988764,0.012048193,82.99999842
2225,CA-2360M3,8.09E+11,RM23612M3,Chenbro,2U,Component,Server,Server Chassis,Chenbro RM23612M3 2U Entry Storage Server Chassis w/ 12Gb/s mini-SAS Backplane,256.25,192.1875,1,10,54.0625,Recurring,01-Jan-19,L,30,0.08988764,0.012048193,82.99999842
3637,EV-1060SC3,8.43E+11,03G-P4-6162-KR,EVGA,Nvidia,Component,Video Card,PCI Express Video Card,EVGA NVIDIA GeForce GTX 1060 SC GAMING 3GB GDDR5 DVI/HDMI/3DisplayPort PCI-Express Video Card,261.89,196.4175,1,2.5,62.9725,Recurring,01-Jan-19,L,3,0.08988764,0.012048193,82.99999842
4022,CA-2361E3L,8.09E+11,RM23612E3-L,Chenbro,2U,Component,Server,Server Chassis,Chenbro RM23612E3-L 2U Entry Storage Server Chassis w/ 12Gb/s SAS Expander Backplane,461.25,345.9375,1,10,105.3125,Recurring,01-Jan-19,L,28,0.08988764,0.012048193,82.99999842
1125,MB-X10DLTB,6.72E+11,X10DRL-IT-B,Supermicro,LGA 2011,Component,Motherboard,Server,Supermicro X10DRL-IT-B Dual LGA2011/ Intel C612/ DDR4/ SATA3&USB3.0/ V&4GbE/ ATX Server Motherboard,458.69,344.0175,1,2.5,112.1725,Recurring,01-Jan-19,L,5,0.08988764,0.012048193,82.99999842
3387,MB-200PS2F,8.89E+11,RS200-E9-PS2-F,ASUS,1U,Component,Server,Server Barebone,Asus RS200-E9-PS2-F LGA1151/ Intel C232/ DDR4/ V&4GbE 1U Rackmount Server Barebone System,500.2,375.15,1,10,115.05,Recurring,01-Jan-19,L,26.8,0.08988764,0.012048193,82.99999842
3484,MB-X9DRFRP,6.72E+11,X9DRFR-P,Supermicro,LGA 2011,Component,Motherboard,Server,Supermicro X9DRFR-P Dual LGA2011/ Intel C602/ DDR3/ SATA3/ V&2GbE/ Proprietary Server Motherboard,476.62,357.465,1,2.5,116.655,Recurring,01-Jan-19,L,5,0.08988764,0.012048193,82.99999842
1914,EV-1600T2X,8.43E+11,220-T2-1600-X1,EVGA,Desktop,Component,Power Supply,Desktop,EVGA SuperNOVA 1600 T2 220-T2-1600-X1 1600W 80 PLUS Titanium ATX12V & EPS12V Power Supply ,502.25,376.6875,1,3.5,122.0625,Recurring,01-Jan-19,L,10,0.08988764,0.012048193,82.99999842
4034,CA-815TR7B,6.72E+11,CSE-815TQ-R700CB,Supermicro,1U,Component,Server,Server Chassis,Supermicro SuperChassis CSE-815TQ-R700CB 700W/750W 1U Rackmount Server Chassis (Black),531.97,398.9775,1,10,122.9925,Recurring,01-Jan-19,L,38,0.08988764,0.012048193,82.99999842
1097,MB-X11SSDF,,X11SSD-F-P,Supermicro,LGA 1151,Component,Motherboard,Server,Supermicro X11SSD-F-P LGA1151/ Intel C236/ DDR4/ SATA3&USB3.0/ V&GbE/ Proprietary Server Motherboard,512.5,384.375,1,2.5,125.625,Recurring,01-Jan-19,L,6,0.08988764,0.012048193,82.99999842
2260,CA-819TQ7U,6.72E+11,CSE-819TQ-R700UB,Supermicro,1U,Component,Server,Server Chassis,Supermicro CSE-819TQ-R700UB 750W 1U Rackmount Server Chassis (Black),590.4,442.8,1,10,137.6,Recurring,01-Jan-19,L,37,0.08988764,0.012048193,82.99999842
1859,PJ-X400P,7.96E+11,X400+,Optoma,Projector,Hardware & Software,Projector & Screen,Projector,Optoma X400+ 4000 ANSI  Lumens DLP XGA Projector,607.82,455.865,1,2.5,149.455,Recurring,01-Jan-19,L,8.25,0.08988764,0.012048193,82.99999842
1130,SY-518DMTF,6.72E+11,SYS-5018D-MTRF,Supermicro,1U,Component,Server,Server Barebone,Supermicro SuperServer SYS-5018D-MTRF LGA1150 400W 1U Rackmount Server Barebone System (Black),795.4,596.55,1,10,188.85,Recurring,01-Jan-19,L,32.5,0.08988764,0.012048193,82.99999842
3650,AS-S20808G,1.93E+11,ROG-STRIX-RTX2080-8G-GAMING,ASUS,Nvidia,Component,Video Card,PCI Express Video Card,Asus NVIDIA ROG Strix GeForce RTX 2080 8G GDDR6 2HDMI/2DisplayPort/USB Type-C PCI-Express Video Card,782.07,586.5525,1,2.5,193.0175,Recurring,01-Jan-19,L,4.67,0.08988764,0.012048193,82.99999842
699,AS-S510D71,8.89E+11,S510UA-DS71,ASUS,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,Asus VivoBook S510UA-DS71 15.6 inch Intel Core i7-8550U 1.8GHz/ 8GB DDR4/ 1TB HDD + 128GB SSD/ USB3.1/ Windows 10 Ultrabook (Gold Metal),829.22,621.915,1,2.5,204.805,Recurring,01-Jan-19,L,6,0.08988764,0.012048193,82.99999842
3618,ZT-R2080DP,8.16E+11,ZT-T20800D-10P,Zotac,Nvidia,Component,Video Card,PCI Express Video Card,ZOTAC NVIDIA GeForce RTX 2080 AMP 8GB GDDR6 HDMI/3DisplayPort/USB Type-C PCI-Express Video Card,855.87,641.9025,1,2.5,211.4675,Recurring,01-Jan-19,L,4,0.08988764,0.012048193,82.99999842
3590,MSI-2080DC,8.24E+11,G2080D8C,MSI,Nvidia,Component,Video Card,PCI Express Video Card,MSI NVIDIA GeForce RTX 2080 DUKE 8G OC 8GB GDDR6 HDMI/ 3DisplayPort/ USB Type-C PCI-Express Video Card,866.12,649.59,1,2.5,214.03,Recurring,01-Jan-19,L,3.5,0.08988764,0.012048193,82.99999842
